metric,value
n_apartments_end_0,6844.0
avg_actual_price,896553.101987142
avg_predicted_price,872830.7038337677
premium_amount,23722.39815337432
premium_percentage,2.71786934730613
t_statistic,5.89574456064863
p_value,3.907480878329431e-9
